geo,geo_label,ai_adoption_pct,ai_two_or_more_technologies_pct,ai_three_or_more_technologies_pct,ai_and_data_analytics_pct,ai_and_cloud_pct,ai_sophisticated_cloud_and_data_pct,cloud_data_but_no_ai_pct,ai_without_sophisticated_cloud_or_data_pct,cloud_use_pct,sophisticated_or_intermediate_cloud_pct,cloud_and_data_analytics_pct,data_analytics_pct,data_analytics_3_sources_pct,dii_at_least_basic_pct,dii_high_pct,dii_very_high_pct,dii_low_pct,dii_very_low_pct,is_eu_aggregate,geo_eurostat,iso_a2,iso_a3,year,source,ai_gap_to_eu_pp,cloud_gap_to_eu_pp,data_analytics_gap_to_eu_pp,dii_high_gap_to_eu_pp,ai_rank_eu27,digital_maturity_score_simple,digital_maturity_minus_ai_pp
EU27_2020,European Union - 27 countries (from 2020),19.95,12.95,8.28,13.82,16.21,11.06,14.33,2.04,52.74,46.69,27.47,39.85,15.86,72.11,27.54,10.05,34.52,27.89,True,EU27_2020,,,2025,Eurostat,0.0,0.0,0.0,0.0,,40.46,20.51
DK,Denmark,42.03,32.48,22.96,34.03,35.81,29.91,17.78,2.44,68.88,67.57,48.58,59.99,28.56,92.68,38.88,27.15,26.65,7.32,False,DK,DK,DNK,2025,Eurostat,22.08,16.14,20.14,11.34,1,57.52,15.49
FI,Finland,37.82,30.16,21.81,26.93,35.85,25.48,13.34,1.51,79.21,73.12,40.65,45.14,26.7,94.24,42.4,25.38,26.46,5.76,False,FI,FI,FIN,2025,Eurostat,17.87,26.47,5.29,14.86,2,57.27,19.45
SE,Sweden,35.04,25.02,16.97,23.21,31.43,20.86,11.26,2.4,72.0,67.59,33.65,38.64,22.09,86.93,35.14,17.19,34.6,13.07,False,SE,SE,SWE,2025,Eurostat,15.09,19.26,-1.21,7.6,3,49.98,14.94
BE,Belgium,34.54,22.87,15.66,26.55,28.43,22.78,16.07,2.78,61.62,58.51,40.36,52.09,25.81,84.9,36.65,20.03,28.22,15.1,False,BE,BE,BEL,2025,Eurostat,14.59,8.88,12.24,9.11,4,51.06,16.52
LU,Luxembourg,33.61,22.17,13.71,19.43,23.54,14.29,9.44,6.13,47.7,43.71,25.07,38.24,15.26,77.32,30.04,9.48,37.8,22.68,False,LU,LU,LUX,2025,Eurostat,13.66,-5.04,-1.61,2.5,5,40.56,6.95
NL,Netherlands,33.21,22.48,14.83,26.94,29.32,23.72,19.81,1.43,68.49,65.81,44.96,55.96,22.44,89.1,41.71,21.58,25.81,10.9,False,NL,NL,NLD,2025,Eurostat,13.26,15.75,16.11,14.17,6,55.37,22.16
AT,Austria,29.95,20.51,12.85,14.04,23.52,11.11,5.63,6.82,52.08,41.7,18.84,26.34,8.61,73.76,26.97,10.09,36.7,26.24,False,AT,AT,AUT,2025,Eurostat,10.0,-0.66,-13.51,-0.57,7,37.85,7.9
DE,Germany,25.97,16.19,10.19,16.73,20.78,12.93,10.97,3.33,53.91,46.03,26.83,37.67,13.57,74.35,27.94,10.45,35.96,25.65,False,DE,DE,DEU,2025,Eurostat,6.02,1.17,-2.18,0.4,8,40.86,14.89
EE,Estonia,23.4,12.86,7.27,19.29,20.29,16.15,21.86,0.79,60.66,56.23,40.31,55.99,29.01,72.77,28.75,8.49,35.53,27.23,False,EE,EE,EST,2025,Eurostat,3.45,7.92,16.14,1.21,9,45.33,21.93
