geo,geo_label,geo_eurostat,iso_a2,iso_a3,year,is_eu_aggregate,metric,value
AT,Austria,AT,AT,AUT,2025,False,ai_adoption_pct,29.95
BE,Belgium,BE,BE,BEL,2025,False,ai_adoption_pct,34.54
BG,Bulgaria,BG,BG,BGR,2025,False,ai_adoption_pct,8.55
CY,Cyprus,CY,CY,CYP,2025,False,ai_adoption_pct,9.27
CZ,Czechia,CZ,CZ,CZE,2025,False,ai_adoption_pct,17.6
DE,Germany,DE,DE,DEU,2025,False,ai_adoption_pct,25.97
DK,Denmark,DK,DK,DNK,2025,False,ai_adoption_pct,42.03
EE,Estonia,EE,EE,EST,2025,False,ai_adoption_pct,23.4
EL,Greece,EL,GR,GRC,2025,False,ai_adoption_pct,8.93
ES,Spain,ES,ES,ESP,2025,False,ai_adoption_pct,20.27
FI,Finland,FI,FI,FIN,2025,False,ai_adoption_pct,37.82
FR,France,FR,FR,FRA,2025,False,ai_adoption_pct,18.16
HR,Croatia,HR,HR,HRV,2025,False,ai_adoption_pct,15.19
HU,Hungary,HU,HU,HUN,2025,False,ai_adoption_pct,10.37
IE,Ireland,IE,IE,IRL,2025,False,ai_adoption_pct,19.64
IT,Italy,IT,IT,ITA,2025,False,ai_adoption_pct,16.4
LT,Lithuania,LT,LT,LTU,2025,False,ai_adoption_pct,21.3
LU,Luxembourg,LU,LU,LUX,2025,False,ai_adoption_pct,33.61
LV,Latvia,LV,LV,LVA,2025,False,ai_adoption_pct,12.21
MT,Malta,MT,MT,MLT,2025,False,ai_adoption_pct,21.51
NL,Netherlands,NL,NL,NLD,2025,False,ai_adoption_pct,33.21
PL,Poland,PL,PL,POL,2025,False,ai_adoption_pct,8.36
PT,Portugal,PT,PT,PRT,2025,False,ai_adoption_pct,11.54
RO,Romania,RO,RO,ROU,2025,False,ai_adoption_pct,5.21
SE,Sweden,SE,SE,SWE,2025,False,ai_adoption_pct,35.04
SI,Slovenia,SI,SI,SVN,2025,False,ai_adoption_pct,21.61
SK,Slovakia,SK,SK,SVK,2025,False,ai_adoption_pct,18.0
EU27_2020,European Union - 27 countries (from 2020),EU27_2020,,,2025,True,ai_adoption_pct,19.95
AT,Austria,AT,AT,AUT,2025,False,ai_and_cloud_pct,23.52
BE,Belgium,BE,BE,BEL,2025,False,ai_and_cloud_pct,28.43
BG,Bulgaria,BG,BG,BGR,2025,False,ai_and_cloud_pct,5.34
CY,Cyprus,CY,CY,CYP,2025,False,ai_and_cloud_pct,7.89
CZ,Czechia,CZ,CZ,CZE,2025,False,ai_and_cloud_pct,15.54
DE,Germany,DE,DE,DEU,2025,False,ai_and_cloud_pct,20.78
DK,Denmark,DK,DK,DNK,2025,False,ai_and_cloud_pct,35.81
EE,Estonia,EE,EE,EST,2025,False,ai_and_cloud_pct,20.29
EL,Greece,EL,GR,GRC,2025,False,ai_and_cloud_pct,6.5
ES,Spain,ES,ES,ESP,2025,False,ai_and_cloud_pct,13.98
FI,Finland,FI,FI,FIN,2025,False,ai_and_cloud_pct,35.85
FR,France,FR,FR,FRA,2025,False,ai_and_cloud_pct,13.29
HR,Croatia,HR,HR,HRV,2025,False,ai_and_cloud_pct,11.93
HU,Hungary,HU,HU,HUN,2025,False,ai_and_cloud_pct,8.66
IE,Ireland,IE,IE,IRL,2025,False,ai_and_cloud_pct,18.33
IT,Italy,IT,IT,ITA,2025,False,ai_and_cloud_pct,14.95
LT,Lithuania,LT,LT,LTU,2025,False,ai_and_cloud_pct,17.32
LU,Luxembourg,LU,LU,LUX,2025,False,ai_and_cloud_pct,23.54
LV,Latvia,LV,LV,LVA,2025,False,ai_and_cloud_pct,10.84
MT,Malta,MT,MT,MLT,2025,False,ai_and_cloud_pct,20.06
NL,Netherlands,NL,NL,NLD,2025,False,ai_and_cloud_pct,29.32
PL,Poland,PL,PL,POL,2025,False,ai_and_cloud_pct,7.69
PT,Portugal,PT,PT,PRT,2025,False,ai_and_cloud_pct,8.68
RO,Romania,RO,RO,ROU,2025,False,ai_and_cloud_pct,3.89
SE,Sweden,SE,SE,SWE,2025,False,ai_and_cloud_pct,31.43
SI,Slovenia,SI,SI,SVN,2025,False,ai_and_cloud_pct,17.13
SK,Slovakia,SK,SK,SVK,2025,False,ai_and_cloud_pct,12.0
EU27_2020,European Union - 27 countries (from 2020),EU27_2020,,,2025,True,ai_and_cloud_pct,16.21
AT,Austria,AT,AT,AUT,2025,False,ai_and_data_analytics_pct,14.04
BE,Belgium,BE,BE,BEL,2025,False,ai_and_data_analytics_pct,26.55
BG,Bulgaria,BG,BG,BGR,2025,False,ai_and_data_analytics_pct,5.68
CY,Cyprus,CY,CY,CYP,2025,False,ai_and_data_analytics_pct,7.21
CZ,Czechia,CZ,CZ,CZE,2025,False,ai_and_data_analytics_pct,14.29
DE,Germany,DE,DE,DEU,2025,False,ai_and_data_analytics_pct,16.73
DK,Denmark,DK,DK,DNK,2025,False,ai_and_data_analytics_pct,34.03
EE,Estonia,EE,EE,EST,2025,False,ai_and_data_analytics_pct,19.29
EL,Greece,EL,GR,GRC,2025,False,ai_and_data_analytics_pct,6.33
ES,Spain,ES,ES,ESP,2025,False,ai_and_data_analytics_pct,15.22
FI,Finland,FI,FI,FIN,2025,False,ai_and_data_analytics_pct,26.93
FR,France,FR,FR,FRA,2025,False,ai_and_data_analytics_pct,11.93
HR,Croatia,HR,HR,HRV,2025,False,ai_and_data_analytics_pct,12.01
HU,Hungary,HU,HU,HUN,2025,False,ai_and_data_analytics_pct,6.84
IE,Ireland,IE,IE,IRL,2025,False,ai_and_data_analytics_pct,14.65
IT,Italy,IT,IT,ITA,2025,False,ai_and_data_analytics_pct,11.5
LT,Lithuania,LT,LT,LTU,2025,False,ai_and_data_analytics_pct,17.47
LU,Luxembourg,LU,LU,LUX,2025,False,ai_and_data_analytics_pct,19.43
LV,Latvia,LV,LV,LVA,2025,False,ai_and_data_analytics_pct,9.72
MT,Malta,MT,MT,MLT,2025,False,ai_and_data_analytics_pct,14.39
NL,Netherlands,NL,NL,NLD,2025,False,ai_and_data_analytics_pct,26.94
PL,Poland,PL,PL,POL,2025,False,ai_and_data_analytics_pct,6.12
PT,Portugal,PT,PT,PRT,2025,False,ai_and_data_analytics_pct,8.87
