geo,geo_label,time,year,nace_r2,nace_r2_label,is_total_sector,ai_adoption_pct,sector_rank_within_geo
AT,Austria,2025,2025,J62_J63,"Computer programming, consultancy, and information service activities",False,83.85,1.0
AT,Austria,2025,2025,ICT,Information and Communication Technology - total,False,80.0,2.0
AT,Austria,2025,2025,J,Information and communication,False,79.93,3.0
AT,Austria,2025,2025,M,"Professional, scientific and technical activities",False,52.8,4.0
AT,Austria,2025,2025,M69-M71,Legal and accounting activities; activities of head offices; management consultancy activities; architectural and engineering activities; technical testing and analysis,False,50.63,5.0
AT,Austria,2025,2025,C27_C28,"Manufacture of electrical equipment, machinery and equipment n.e.c.",False,46.14,6.0
AT,Austria,2025,2025,C28,Manufacture of machinery and equipment n.e.c.,False,45.87,7.0
AT,Austria,2025,2025,C26-C33,"Manufacture of computers, electric and optical products, electrical equipment, machinery and equipment n.e.c, motor vehicles, other transport equipment, furniture, other manufacturing, repair and installation of machinery and equipment",False,42.22,8.0
AT,Austria,2025,2025,G46,"Wholesale trade, except of motor vehicles and motorcycles",False,38.17,9.0
AT,Austria,2025,2025,C31-C33,"Manufacture of furniture; jewellery, musical instruments, toys; repair and installation of machinery and equipment",False,34.86,10.0
AT,Austria,2025,2025,I55,Accommodation,False,34.11,11.0
AT,Austria,2025,2025,G45-S951_X_K,"Services, without financial sector",False,32.62,12.0
AT,Austria,2025,2025,C-E,"Manufacturing, electricity, gas, steam and air conditioning; water supply, sewerage, waste management and remediation activities",False,32.59,13.0
AT,Austria,2025,2025,C,Manufacturing,False,32.54,14.0
AT,Austria,2025,2025,C19-C23,"Manufacture of coke, refined petroleum, chemical and basic pharmaceutical products, rubber and plastics, other non-metallic mineral products",False,31.62,15.0
AT,Austria,2025,2025,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",True,29.95,16.0
AT,Austria,2025,2025,C24_C25,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",False,29.62,17.0
AT,Austria,2025,2025,C16-C18,"Manufacture of wood, paper, printing and reproduction",False,27.16,18.0
AT,Austria,2025,2025,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,False,26.46,19.0
AT,Austria,2025,2025,N,Administrative and support service activities,False,25.72,20.0
AT,Austria,2025,2025,C10-C18,"Manufacture of products based on: food, beverages, tobacco, textile, leather, wood, pulp and paper; publishing and printing",False,24.49,21.0
AT,Austria,2025,2025,C-F,"Manufacturing, electricity, gas, steam and air conditioning supply; water supply and construction",False,24.1,22.0
AT,Austria,2025,2025,C22_C23,Manufacture of rubber and plastic products and other non-metallic mineral products,False,23.77,23.0
AT,Austria,2025,2025,N77-N82_X_N79,"Activities for rental and leasing, employment, security and investigation, services to buildings and landscape, office administrative, office support and other business support",False,23.77,24.0
AT,Austria,2025,2025,I,Accommodation and food service activities,False,23.72,25.0
AT,Austria,2025,2025,C10-C12,Manufacture of food products; beverages and tobacco products,False,22.65,26.0
AT,Austria,2025,2025,G47,"Retail trade, except of motor vehicles and motorcycles",False,20.86,27.0
AT,Austria,2025,2025,H,Transportation and storage,False,19.37,28.0
AT,Austria,2025,2025,G45,Wholesale and retail trade and repair of motor vehicles and motorcycles,False,16.2,29.0
AT,Austria,2025,2025,F,Construction,False,14.89,30.0
BE,Belgium,2025,2025,C19,Manufacture of coke and refined petroleum products,False,100.0,1.0
BE,Belgium,2025,2025,D,"Electricity, gas, steam and air conditioning supply",False,90.48,2.0
BE,Belgium,2025,2025,D35,"Electricity, gas, steam and air conditioning supply",False,90.48,3.0
BE,Belgium,2025,2025,ICT,Information and Communication Technology - total,False,80.16,4.0
BE,Belgium,2025,2025,C27,Manufacture of electrical equipment,False,79.21,5.0
BE,Belgium,2025,2025,J,Information and communication,False,78.15,6.0
BE,Belgium,2025,2025,S951,Repair of computers and communication equipment,False,60.0,7.0
BE,Belgium,2025,2025,M,"Professional, scientific and technical activities",False,57.11,8.0
BE,Belgium,2025,2025,C21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,False,48.47,9.0
