geo,geo_label,time,year,indic_is,indicator_short_label,indic_is_label,indicator_category,unit,unit_label,value
AT,Austria,2025,2025,E_AI_PBAM,Business administration / management,Enterprises using AI technologies for organisation of business administration processes or management,AI purpose,PC_ENT,Percentage of enterprises,11.35
AT,Austria,2025,2025,E_AI_PFIN,Accounting / finance management,"Enterprises using AI technologies for accounting, controlling or finance management",AI purpose,PC_ENT,Percentage of enterprises,6.7
AT,Austria,2025,2025,E_AI_PITS,ICT security,Enterprises using AI technologies for ICT security,AI purpose,PC_ENT,Percentage of enterprises,5.01
AT,Austria,2025,2025,E_AI_PLOG,Logistics,Enterprises using AI technologies for logistics,AI purpose,PC_ENT,Percentage of enterprises,1.4
AT,Austria,2025,2025,E_AI_PMS,Marketing or sales,Enterprises using AI technologies for marketing or sales,AI purpose,PC_ENT,Percentage of enterprises,13.33
AT,Austria,2025,2025,E_AI_PPP,Production processes,Enterprises using AI technologies for production processes,AI purpose,PC_ENT,Percentage of enterprises,7.56
AT,Austria,2025,2025,E_AI_PRDI,R&D or innovation,Enterprises using AI technologies for research and development (R&D) or innovation activity,AI purpose,PC_ENT,Percentage of enterprises,5.15
BE,Belgium,2025,2025,E_AI_PBAM,Business administration / management,Enterprises using AI technologies for organisation of business administration processes or management,AI purpose,PC_ENT,Percentage of enterprises,13.68
BE,Belgium,2025,2025,E_AI_PFIN,Accounting / finance management,"Enterprises using AI technologies for accounting, controlling or finance management",AI purpose,PC_ENT,Percentage of enterprises,10.78
BE,Belgium,2025,2025,E_AI_PITS,ICT security,Enterprises using AI technologies for ICT security,AI purpose,PC_ENT,Percentage of enterprises,8.59
BE,Belgium,2025,2025,E_AI_PLOG,Logistics,Enterprises using AI technologies for logistics,AI purpose,PC_ENT,Percentage of enterprises,2.09
BE,Belgium,2025,2025,E_AI_PMS,Marketing or sales,Enterprises using AI technologies for marketing or sales,AI purpose,PC_ENT,Percentage of enterprises,9.12
BE,Belgium,2025,2025,E_AI_PPP,Production processes,Enterprises using AI technologies for production processes,AI purpose,PC_ENT,Percentage of enterprises,5.9
BE,Belgium,2025,2025,E_AI_PRDI,R&D or innovation,Enterprises using AI technologies for research and development (R&D) or innovation activity,AI purpose,PC_ENT,Percentage of enterprises,7.64
BG,Bulgaria,2025,2025,E_AI_PBAM,Business administration / management,Enterprises using AI technologies for organisation of business administration processes or management,AI purpose,PC_ENT,Percentage of enterprises,2.78
BG,Bulgaria,2025,2025,E_AI_PFIN,Accounting / finance management,"Enterprises using AI technologies for accounting, controlling or finance management",AI purpose,PC_ENT,Percentage of enterprises,2.1
BG,Bulgaria,2025,2025,E_AI_PITS,ICT security,Enterprises using AI technologies for ICT security,AI purpose,PC_ENT,Percentage of enterprises,1.18
BG,Bulgaria,2025,2025,E_AI_PLOG,Logistics,Enterprises using AI technologies for logistics,AI purpose,PC_ENT,Percentage of enterprises,0.92
BG,Bulgaria,2025,2025,E_AI_PMS,Marketing or sales,Enterprises using AI technologies for marketing or sales,AI purpose,PC_ENT,Percentage of enterprises,3.08
BG,Bulgaria,2025,2025,E_AI_PPP,Production processes,Enterprises using AI technologies for production processes,AI purpose,PC_ENT,Percentage of enterprises,2.05
