geo,geo_label,time,year,indic_is,indicator_short_label,indic_is_label,indicator_category,unit,unit_label,value
AT,Austria,2025,2025,E_AI_TAR,Autonomous robots / vehicles / drones,"Enterprises using AI technologies enabling physical movement of machines via autonomous decisions based on observation of surroundings (autonomous robots, self-driving vehicles, autonomous drones)",AI technology,PC_ENT,Percentage of enterprises,1.55
AT,Austria,2025,2025,E_AI_TIR,Image recognition / image processing,"Enterprises using AI technologies identifying objects or persons based on images (image recognition, image processing)",AI technology,PC_ENT,Percentage of enterprises,3.15
AT,Austria,2025,2025,E_AI_TML,Machine learning for data analysis,Enterprises using machine learning (e.g. deep learning) for data analysis,AI technology,PC_ENT,Percentage of enterprises,7.56
AT,Austria,2025,2025,E_AI_TNLG,Natural language generation / code generation,"Enterprises using AI technologies generating written or spoken language or programming codes (natural language generation, speech synthesis)",AI technology,PC_ENT,Percentage of enterprises,15.26
AT,Austria,2025,2025,E_AI_TPA,Workflow automation / decision support,Enterprises using AI technologies automating different workflows or assisting in decision making (AI based software robotic process automation),AI technology,PC_ENT,Percentage of enterprises,6.43
AT,Austria,2025,2025,E_AI_TPVSG,Generative pictures / video / sound,"Enterprises using AI technologies generating pictures, videos, sound/audio",AI technology,PC_ENT,Percentage of enterprises,13.08
AT,Austria,2025,2025,E_AI_TSR,Speech recognition,Enterprises using AI technologies converting spoken language into machine-readable format (speech recognition),AI technology,PC_ENT,Percentage of enterprises,9.4
AT,Austria,2025,2025,E_AI_TTM,Text mining,Enterprises using AI technologies performing analysis of written language (text mining),AI technology,PC_ENT,Percentage of enterprises,21.92
BE,Belgium,2025,2025,E_AI_TAR,Autonomous robots / vehicles / drones,"Enterprises using AI technologies enabling physical movement of machines via autonomous decisions based on observation of surroundings (autonomous robots, self-driving vehicles, autonomous drones)",AI technology,PC_ENT,Percentage of enterprises,2.95
BE,Belgium,2025,2025,E_AI_TIR,Image recognition / image processing,"Enterprises using AI technologies identifying objects or persons based on images (image recognition, image processing)",AI technology,PC_ENT,Percentage of enterprises,6.54
BE,Belgium,2025,2025,E_AI_TML,Machine learning for data analysis,Enterprises using machine learning (e.g. deep learning) for data analysis,AI technology,PC_ENT,Percentage of enterprises,11.15
BE,Belgium,2025,2025,E_AI_TNLG,Natural language generation / code generation,"Enterprises using AI technologies generating written or spoken language or programming codes (natural language generation, speech synthesis)",AI technology,PC_ENT,Percentage of enterprises,15.86
BE,Belgium,2025,2025,E_AI_TPA,Workflow automation / decision support,Enterprises using AI technologies automating different workflows or assisting in decision making (AI based software robotic process automation),AI technology,PC_ENT,Percentage of enterprises,10.84
BE,Belgium,2025,2025,E_AI_TPVSG,Generative pictures / video / sound,"Enterprises using AI technologies generating pictures, videos, sound/audio",AI technology,PC_ENT,Percentage of enterprises,17.32
BE,Belgium,2025,2025,E_AI_TSR,Speech recognition,Enterprises using AI technologies converting spoken language into machine-readable format (speech recognition),AI technology,PC_ENT,Percentage of enterprises,12.29
BE,Belgium,2025,2025,E_AI_TTM,Text mining,Enterprises using AI technologies performing analysis of written language (text mining),AI technology,PC_ENT,Percentage of enterprises,23.01
BG,Bulgaria,2025,2025,E_AI_TAR,Autonomous robots / vehicles / drones,"Enterprises using AI technologies enabling physical movement of machines via autonomous decisions based on observation of surroundings (autonomous robots, self-driving vehicles, autonomous drones)",AI technology,PC_ENT,Percentage of enterprises,0.69
BG,Bulgaria,2025,2025,E_AI_TIR,Image recognition / image processing,"Enterprises using AI technologies identifying objects or persons based on images (image recognition, image processing)",AI technology,PC_ENT,Percentage of enterprises,2.4
BG,Bulgaria,2025,2025,E_AI_TML,Machine learning for data analysis,Enterprises using machine learning (e.g. deep learning) for data analysis,AI technology,PC_ENT,Percentage of enterprises,2.26
BG,Bulgaria,2025,2025,E_AI_TNLG,Natural language generation / code generation,"Enterprises using AI technologies generating written or spoken language or programming codes (natural language generation, speech synthesis)",AI technology,PC_ENT,Percentage of enterprises,3.22
BG,Bulgaria,2025,2025,E_AI_TPA,Workflow automation / decision support,Enterprises using AI technologies automating different workflows or assisting in decision making (AI based software robotic process automation),AI technology,PC_ENT,Percentage of enterprises,3.76
BG,Bulgaria,2025,2025,E_AI_TPVSG,Generative pictures / video / sound,"Enterprises using AI technologies generating pictures, videos, sound/audio",AI technology,PC_ENT,Percentage of enterprises,4.52
BG,Bulgaria,2025,2025,E_AI_TSR,Speech recognition,Enterprises using AI technologies converting spoken language into machine-readable format (speech recognition),AI technology,PC_ENT,Percentage of enterprises,2.67
BG,Bulgaria,2025,2025,E_AI_TTM,Text mining,Enterprises using AI technologies performing analysis of written language (text mining),AI technology,PC_ENT,Percentage of enterprises,4.97
CY,Cyprus,2025,2025,E_AI_TAR,Autonomous robots / vehicles / drones,"Enterprises using AI technologies enabling physical movement of machines via autonomous decisions based on observation of surroundings (autonomous robots, self-driving vehicles, autonomous drones)",AI technology,PC_ENT,Percentage of enterprises,0.51
CY,Cyprus,2025,2025,E_AI_TIR,Image recognition / image processing,"Enterprises using AI technologies identifying objects or persons based on images (image recognition, image processing)",AI technology,PC_ENT,Percentage of enterprises,2.34
CY,Cyprus,2025,2025,E_AI_TML,Machine learning for data analysis,Enterprises using machine learning (e.g. deep learning) for data analysis,AI technology,PC_ENT,Percentage of enterprises,4.21
CY,Cyprus,2025,2025,E_AI_TNLG,Natural language generation / code generation,"Enterprises using AI technologies generating written or spoken language or programming codes (natural language generation, speech synthesis)",AI technology,PC_ENT,Percentage of enterprises,4.53
CY,Cyprus,2025,2025,E_AI_TPA,Workflow automation / decision support,Enterprises using AI technologies automating different workflows or assisting in decision making (AI based software robotic process automation),AI technology,PC_ENT,Percentage of enterprises,2.87
CY,Cyprus,2025,2025,E_AI_TPVSG,Generative pictures / video / sound,"Enterprises using AI technologies generating pictures, videos, sound/audio",AI technology,PC_ENT,Percentage of enterprises,4.68
CY,Cyprus,2025,2025,E_AI_TSR,Speech recognition,Enterprises using AI technologies converting spoken language into machine-readable format (speech recognition),AI technology,PC_ENT,Percentage of enterprises,3.2
CY,Cyprus,2025,2025,E_AI_TTM,Text mining,Enterprises using AI technologies performing analysis of written language (text mining),AI technology,PC_ENT,Percentage of enterprises,5.95
CZ,Czechia,2025,2025,E_AI_TAR,Autonomous robots / vehicles / drones,"Enterprises using AI technologies enabling physical movement of machines via autonomous decisions based on observation of surroundings (autonomous robots, self-driving vehicles, autonomous drones)",AI technology,PC_ENT,Percentage of enterprises,1.1
CZ,Czechia,2025,2025,E_AI_TIR,Image recognition / image processing,"Enterprises using AI technologies identifying objects or persons based on images (image recognition, image processing)",AI technology,PC_ENT,Percentage of enterprises,2.1
CZ,Czechia,2025,2025,E_AI_TML,Machine learning for data analysis,Enterprises using machine learning (e.g. deep learning) for data analysis,AI technology,PC_ENT,Percentage of enterprises,6.91
CZ,Czechia,2025,2025,E_AI_TNLG,Natural language generation / code generation,"Enterprises using AI technologies generating written or spoken language or programming codes (natural language generation, speech synthesis)",AI technology,PC_ENT,Percentage of enterprises,12.78
CZ,Czechia,2025,2025,E_AI_TPA,Workflow automation / decision support,Enterprises using AI technologies automating different workflows or assisting in decision making (AI based software robotic process automation),AI technology,PC_ENT,Percentage of enterprises,4.07
