freq,freq_label,size_emp,size_emp_label,nace_r2,nace_r2_label,indic_is,indic_is_label,unit,unit_label,geo,geo_label,time,time_label,value,status
A,Annual,0_1,From 0 to 1 person employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_VLO,Enterprises with very low digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,SE,Sweden,2025,2025,67.79,
A,Annual,0_1,From 0 to 1 person employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_LO,Enterprises with low digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,SE,Sweden,2025,2025,29.15,
A,Annual,0_1,From 0 to 1 person employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_HI,Enterprises with high digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,SE,Sweden,2025,2025,2.93,
A,Annual,0_1,From 0 to 1 person employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_VHI,Enterprises with very high digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,SE,Sweden,2025,2025,0.14,
A,Annual,0_1,From 0 to 1 person employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_GELO,Enterprises with at least basic level of digital intensity (DII Version 3),PC_ENT,Percentage of enterprises,SE,Sweden,2025,2025,32.21,
A,Annual,0-9,From 0 to 9 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_VLO,Enterprises with very low digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,ES,Spain,2025,2025,70.79,
A,Annual,0-9,From 0 to 9 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_VLO,Enterprises with very low digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,SE,Sweden,2025,2025,62.48,
A,Annual,0-9,From 0 to 9 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_LO,Enterprises with low digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,ES,Spain,2025,2025,22.06,
A,Annual,0-9,From 0 to 9 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_LO,Enterprises with low digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,SE,Sweden,2025,2025,32.67,
A,Annual,0-9,From 0 to 9 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_HI,Enterprises with high digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,ES,Spain,2025,2025,6.04,
A,Annual,0-9,From 0 to 9 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_HI,Enterprises with high digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,SE,Sweden,2025,2025,4.58,
A,Annual,0-9,From 0 to 9 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_VHI,Enterprises with very high digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,ES,Spain,2025,2025,1.1,
A,Annual,0-9,From 0 to 9 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_VHI,Enterprises with very high digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,SE,Sweden,2025,2025,0.28,
A,Annual,0-9,From 0 to 9 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_GELO,Enterprises with at least basic level of digital intensity (DII Version 3),PC_ENT,Percentage of enterprises,ES,Spain,2025,2025,29.21,
A,Annual,0-9,From 0 to 9 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_GELO,Enterprises with at least basic level of digital intensity (DII Version 3),PC_ENT,Percentage of enterprises,SE,Sweden,2025,2025,37.52,
A,Annual,2-9,From 2 to 9 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_VLO,Enterprises with very low digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,BE,Belgium,2025,2025,35.2,
A,Annual,2-9,From 2 to 9 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_VLO,Enterprises with very low digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,NL,Netherlands,2025,2025,43.35,
A,Annual,2-9,From 2 to 9 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_VLO,Enterprises with very low digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,SE,Sweden,2025,2025,43.1,
A,Annual,2-9,From 2 to 9 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_LO,Enterprises with low digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,BE,Belgium,2025,2025,32.14,
A,Annual,2-9,From 2 to 9 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_LO,Enterprises with low digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,NL,Netherlands,2025,2025,44.5,
A,Annual,2-9,From 2 to 9 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_LO,Enterprises with low digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,SE,Sweden,2025,2025,45.49,
A,Annual,2-9,From 2 to 9 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_HI,Enterprises with high digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,BE,Belgium,2025,2025,26.7,
A,Annual,2-9,From 2 to 9 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_HI,Enterprises with high digital intensity index (DII version 3),PC_ENT,Percentage of enterprises,NL,Netherlands,2025,2025,12.16,
