freq,freq_label,size_emp,size_emp_label,nace_r2,nace_r2_label,indic_is,indic_is_label,unit,unit_label,geo,geo_label,time,time_label,value,status
A,Annual,0_1,From 0 to 1 person employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DAOWN,Enterprises where data analytics for the enterprise is performed by own employees,PC_ENT,Percentage of enterprises,SE,Sweden,2025,2025,8.3,
A,Annual,0_1,From 0 to 1 person employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DAOWN,Enterprises where data analytics for the enterprise is performed by own employees,PC_ENT_IUSE,Percentage of enterprises where persons employed have access to the internet,SE,Sweden,2025,2025,9.45,
A,Annual,0_1,From 0 to 1 person employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DAEXT,Enterprises where data analytics for the enterprise is performed by external enterprise or organisation,PC_ENT,Percentage of enterprises,SE,Sweden,2025,2025,5.13,
A,Annual,0_1,From 0 to 1 person employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DAEXT,Enterprises where data analytics for the enterprise is performed by external enterprise or organisation,PC_ENT_IUSE,Percentage of enterprises where persons employed have access to the internet,SE,Sweden,2025,2025,5.84,
A,Annual,0_1,From 0 to 1 person employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DA,Data analytics for the enterprise is performed by the enterprise's own employees or by an external provider,PC_ENT,Percentage of enterprises,SE,Sweden,2025,2025,10.78,
A,Annual,0_1,From 0 to 1 person employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DA,Data analytics for the enterprise is performed by the enterprise's own employees or by an external provider,PC_ENT_IUSE,Percentage of enterprises where persons employed have access to the internet,SE,Sweden,2025,2025,12.27,
A,Annual,0_1,From 0 to 1 person employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_VLO_DA,"Enterprises with very low digital intensity index, which perform data analytics",PC_ENT,Percentage of enterprises,SE,Sweden,2025,2025,2.16,
A,Annual,0_1,From 0 to 1 person employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_LO_DA,"Enterprises with low digital intensity index, which perform data analytics",PC_ENT,Percentage of enterprises,SE,Sweden,2025,2025,6.47,
A,Annual,0_1,From 0 to 1 person employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_HI_DA,"Enterprises with high digital intensity index, which perform data analytics",PC_ENT,Percentage of enterprises,SE,Sweden,2025,2025,2.02,
A,Annual,0_1,From 0 to 1 person employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_VHI_DA,"Enterprises with very high digital intensity index, which perform data analytics",PC_ENT,Percentage of enterprises,SE,Sweden,2025,2025,0.14,
A,Annual,0-9,From 0 to 9 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DAOWN,Enterprises where data analytics for the enterprise is performed by own employees,PC_ENT,Percentage of enterprises,ES,Spain,2025,2025,6.44,
A,Annual,0-9,From 0 to 9 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DAOWN,Enterprises where data analytics for the enterprise is performed by own employees,PC_ENT,Percentage of enterprises,SE,Sweden,2025,2025,9.45,
